,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,track_name,artist_name
7786,0.405,0.9279999999999999,8,-3.222,1,0.0503,0.00037200000000000004,0.0020399999999999997,0.0944,0.696,170.96900000000002,audio_features,5rpjEBQVAVKDDIPa5dI37A,spotify:track:5rpjEBQVAVKDDIPa5dI37A,https://api.spotify.com/v1/tracks/5rpjEBQVAVKDDIPa5dI37A,https://api.spotify.com/v1/audio-analysis/5rpjEBQVAVKDDIPa5dI37A,239747,4,54,Heavy Is the Head,Zac Brown Band
7787,0.625,0.825,7,-5.757999999999999,1,0.0481,0.0621,0.0,0.0753,0.341,100.00399999999999,audio_features,12AOwWanBDN4TQbJRbErqM,spotify:track:12AOwWanBDN4TQbJRbErqM,https://api.spotify.com/v1/tracks/12AOwWanBDN4TQbJRbErqM,https://api.spotify.com/v1/audio-analysis/12AOwWanBDN4TQbJRbErqM,233827,4,44,Wasted Time,Keith Urban
7788,0.518,0.6859999999999999,9,-4.9110000000000005,1,0.0313,0.114,0.0,0.114,0.33399999999999996,144.065,audio_features,1XazlqB4YAtvouCmJPWXlM,spotify:track:1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/tracks/1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/audio-analysis/1XazlqB4YAtvouCmJPWXlM,236227,4,61,Wanna Be That Song,Brett Eldredge
7789,0.508,0.33299999999999996,11,-11.509,0,0.0305,0.81,0.0,0.19,0.195,74.458,audio_features,1tpLxOKuAaRCViAxf2pgNr,spotify:track:1tpLxOKuAaRCViAxf2pgNr,https://api.spotify.com/v1/tracks/1tpLxOKuAaRCViAxf2pgNr,https://api.spotify.com/v1/audio-analysis/1tpLxOKuAaRCViAxf2pgNr,259893,4,0,Whiskey Lullaby,Brad Paisley
7790,0.583,0.862,0,-5.803999999999999,1,0.0337,0.00492,0.0,0.12,0.6709999999999999,112.95299999999999,audio_features,7DYswEnZFL6SKaNLTxBf5b,spotify:track:7DYswEnZFL6SKaNLTxBf5b,https://api.spotify.com/v1/tracks/7DYswEnZFL6SKaNLTxBf5b,https://api.spotify.com/v1/audio-analysis/7DYswEnZFL6SKaNLTxBf5b,234587,4,46,Without a Fight,Brad Paisley
7791,0.5660000000000001,0.743,2,-7.986000000000001,1,0.0351,0.363,2.55e-05,0.17,0.479,92.605,audio_features,2SZYBG86b5hTFssCSusaII,spotify:track:2SZYBG86b5hTFssCSusaII,https://api.spotify.com/v1/tracks/2SZYBG86b5hTFssCSusaII,https://api.spotify.com/v1/audio-analysis/2SZYBG86b5hTFssCSusaII,208267,4,0,Mud on the Tires,Brad Paisley
7792,0.552,0.754,11,-5.888,1,0.0302,0.373,3.02e-05,0.20800000000000002,0.595,141.671,audio_features,6BJ4hKkkbcs3IrLlNx71R8,spotify:track:6BJ4hKkkbcs3IrLlNx71R8,https://api.spotify.com/v1/tracks/6BJ4hKkkbcs3IrLlNx71R8,https://api.spotify.com/v1/audio-analysis/6BJ4hKkkbcs3IrLlNx71R8,290933,3,0,Alcohol,Brad Paisley
7793,0.34700000000000003,0.632,2,-6.997999999999999,1,0.0381,0.539,0.0022600000000000003,0.121,0.285,74.257,audio_features,1IO13V09b01gLSbmZJZ9dM,spotify:track:1IO13V09b01gLSbmZJZ9dM,https://api.spotify.com/v1/tracks/1IO13V09b01gLSbmZJZ9dM,https://api.spotify.com/v1/audio-analysis/1IO13V09b01gLSbmZJZ9dM,229338,3,52,Today,Brad Paisley
7794,0.465,0.772,5,-3.932,0,0.0378,0.0959,1.04e-05,0.16699999999999998,0.257,155.83,audio_features,25zXRQGuwYZdIp88fVZOPC,spotify:track:25zXRQGuwYZdIp88fVZOPC,https://api.spotify.com/v1/tracks/25zXRQGuwYZdIp88fVZOPC,https://api.spotify.com/v1/audio-analysis/25zXRQGuwYZdIp88fVZOPC,215640,4,65,Wasting All These Tears,Cassadee Pope
7795,0.611,0.8420000000000001,8,-4.192,1,0.0333,0.127,0.0,0.0858,0.642,100.057,audio_features,4wrjIq1lskP8tZuQBEdcux,spotify:track:4wrjIq1lskP8tZuQBEdcux,https://api.spotify.com/v1/tracks/4wrjIq1lskP8tZuQBEdcux,https://api.spotify.com/v1/audio-analysis/4wrjIq1lskP8tZuQBEdcux,220413,4,42,I Wish I Could Break Your Heart,Cassadee Pope
